lat,lon,alt,pit,rol,yaw,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
38.92997,121.65148,0.6,-2.19,-0.36,119.59,1334.0,3364.0,15560.0,274.0,157.0,119.0
38.92997,121.65143,1.2,-6.06,-2.75,128.9,1788.0,-106.0,10670.0,95.0,26.0,166.0
38.92999,121.65141,1.7,-5.81,-6.55,146.66,-84.0,-2090.0,18794.0,-418.0,-265.0,313.0
38.92993,121.65134,6.5,-0.74,-4.54,151.1,830.0,-1658.0,14202.0,-160.0,-88.0,-77.0
38.92984,121.65133,30.4,1.09,-7.52,173.8,390.0,-146.0,14578.0,-79.0,-151.0,-21.0
38.92896,121.65318,593.6,0.14,-7.66,173.2,586.0,-244.0,14336.0,-57.0,63.0,29.0
38.9284,121.65099,248.2,0.08,-5.67,-172.09,238.0,1352.0,13288.0,-30.0,-125.0,79.0
38.92841,121.65098,244.6,-0.23,-5.48,-172.11,270.0,-2058.0,18426.0,-185.0,-528.0,151.0
38.92842,121.65096,226.6,-0.68,-7.53,-160.84,-212.0,946.0,13630.0,27.0,-745.0,-67.0
38.92842,121.65095,227.5,0.75,-6.84,-160.24,52.0,2450.0,13656.0,-30.0,85.0,634.0
38.92847,121.65095,154.6,-2.34,-7.98,-81.08,1376.0,-2586.0,12906.0,-288.0,-97.0,27.0
