pit: -10.09, rol: -0.13, yaw: 8.22, acc_x: 2412, acc_y: 1762, acc_z: 14436, gyr_x: -11, gyr_y: 375, gyr_z: 205, temp: 1325
pit: -8.40, rol: 0.14, yaw: 9.67, acc_x: 4262, acc_y: 1880, acc_z: 15088, gyr_x: 220, gyr_y: 117, gyr_z: 368, temp: 1328
pit: -7.88, rol: 0.94, yaw: 10.36, acc_x: 3444, acc_y: 2912, acc_z: 13670, gyr_x: -23, gyr_y: 241, gyr_z: 128, temp: 1324
pit: -5.83, rol: 0.70, yaw: 10.72, acc_x: 1296, acc_y: 2508, acc_z: 16568, gyr_x: 98, gyr_y: -132, gyr_z: 80, temp: 1326
pit: -5.66, rol: 0.83, yaw: 10.32, acc_x: -886, acc_y: 842, acc_z: 16358, gyr_x: -40, gyr_y: 331, gyr_z: -252, temp: 1327
pit: -5.96, rol: 1.48, yaw: 9.68, acc_x: 328, acc_y: 3750, acc_z: 12666, gyr_x: 65, gyr_y: -146, gyr_z: -66, temp: 1324
pit: -5.87, rol: 0.60, yaw: 9.98, acc_x: 1152, acc_y: 1868, acc_z: 14372, gyr_x: 78, gyr_y: -47, gyr_z: 177, temp: 1325
pit: -6.61, rol: 0.91, yaw: 10.38, acc_x: 582, acc_y: 3562, acc_z: 13848, gyr_x: 312, gyr_y: -369, gyr_z: 32, temp: 1325
pit: -6.92, rol: 1.90, yaw: 11.21, acc_x: 58, acc_y: 2200, acc_z: 15076, gyr_x: 179, gyr_y: -122, gyr_z: 332, temp: 1326
pit: -7.62, rol: 2.51, yaw: 10.98, acc_x: 1902, acc_y: 2016, acc_z: 16924, gyr_x: -45, gyr_y: -30, gyr_z: -178, temp: 1324
pit: -8.76, rol: 3.72, yaw: 8.20, acc_x: 1204, acc_y: 624, acc_z: 15650, gyr_x: -50, gyr_y: -5, gyr_z: -503, temp: 1324
pit: -8.62, rol: 4.19, yaw: 5.42, acc_x: 762, acc_y: 3408, acc_z: 13058, gyr_x: 16, gyr_y: 371, gyr_z: -152, temp: 1326
pit: -6.36, rol: 2.52, yaw: 4.78, acc_x: 2470, acc_y: 1008, acc_z: 14728, gyr_x: 12, gyr_y: -154, gyr_z: -128, temp: 1325
pit: -6.77, rol: 2.75, yaw: 2.84, acc_x: 550, acc_y: 3546, acc_z: 11500, gyr_x: 61, gyr_y: 121, gyr_z: -141, temp: 1323
pit: -5.51, rol: 1.90, yaw: 3.05, acc_x: 3190, acc_y: 1658, acc_z: 14020, gyr_x: -193, gyr_y: 546, gyr_z: 316, temp: 1326
pit: -4.40, rol: 1.48, yaw: 2.81, acc_x: 2446, acc_y: 3918, acc_z: 14464, gyr_x: 201, gyr_y: -299, gyr_z: -230, temp: 1327
pit: -4.43, rol: 2.12, yaw: 1.61, acc_x: 1920, acc_y: -726, acc_z: 19202, gyr_x: -101, gyr_y: 319, gyr_z: -123, temp: 1325
pit: -4.30, rol: 2.71, yaw: 0.23, acc_x: 858, acc_y: 2760, acc_z: 11870, gyr_x: 94, gyr_y: -225, gyr_z: -156, temp: 1322
pit: -3.96, rol: 0.84, yaw: -0.95, acc_x: -912, acc_y: 826, acc_z: 14314, gyr_x: -510, gyr_y: 142, gyr_z: -44, temp: 1325
pit: -4.37, rol: -1.28, yaw: -1.26, acc_x: 1168, acc_y: 1020, acc_z: 13914, gyr_x: -177, gyr_y: -101, gyr_z: -11, temp: 1323
pit: -5.74, rol: -0.93, yaw: -2.17, acc_x: 1036, acc_y: 3712, acc_z: 14012, gyr_x: 26, gyr_y: -100, gyr_z: -104, temp: 1325
pit: -5.75, rol: -0.45, yaw: -3.04, acc_x: 1412, acc_y: 1548, acc_z: 15590, gyr_x: 10, gyr_y: -17, gyr_z: -272, temp: 1326
pit: -5.00, rol: 0.10, yaw: -4.17, acc_x: 1990, acc_y: 3264, acc_z: 16376, gyr_x: -143, gyr_y: 258, gyr_z: -236, temp: 1320
